"时间","S1L Monitor: S1L Monitor (N)","S1R Monitor: S1R Monitor (N)","S2L Monitor: S2L Monitor (N)","S2R Monitor: S2R Monitor (N)","S3L Monitor: S3L Monitor (N)","S3R Monitor: S3R Monitor (N)"
2.081999999999969,6432.327405006375,7059.469875646947,-4864.6547055229785,-4607.394017734067,-9022.536680919126,-9309.038228411788
2.0820999999999694,6445.095046133564,7072.965979820854,-4857.131865646493,-4602.019242667894,-9020.490251115822,-9304.350927192696
2.0821999999999696,6457.904063637952,7086.384773932844,-4849.786176333161,-4596.617177500312,-9018.531325277623,-9299.509965817566
2.08229999999997,6470.749669372906,7099.734446664657,-4842.607956234212,-4591.191916691306,-9016.655720339306,-9294.509017170276
2.08239999999997,6483.638265063787,7113.057006794453,-4835.586886395372,-4585.734247265595,-9014.859642548972,-9289.331965034258
2.0824999999999703,6496.559654270295,7126.365407008512,-4828.712497691685,-4580.243161257204,-9013.136925137305,-9283.97209524669
2.0825999999999705,6509.442563089497,7139.5970093270225,-4822.007167808599,-4574.753731357822,-9011.481267668341,-9278.454251313944
2.0826999999999707,6522.309611254301,7152.821727271949,-4815.406838865651,-4569.232597450039,-9009.89462414438,-9272.741888051993
2.082799999999971,6535.075975506193,7165.97437555101,-4808.97167755703,-4563.723745550744,-9008.37850998456,-9266.860224511676
2.082899999999971,6547.781317084593,7179.070534213273,-4802.69865065297,-4558.232408611689,-9006.938539129233,-9260.802024274357
2.0829999999999713,6560.492305574024,7192.160769881199,-4796.565257015163,-4552.75130601442,-9005.57895829271,-9254.5465733711
2.0830999999999715,6573.247474513985,7205.249977651595,-4790.568368890544,-4547.283009796352,-9004.301766749833,-9248.080474919247
2.0831999999999717,6586.026100638778,7218.30955528609,-4784.714309149037,-4541.846597277757,-9003.109160513544,-9241.410359226496
2.083299999999972,6598.7811301542215,7231.334599240707,-4778.992549356629,-4536.4530337761125,-9002.001711024604,-9234.537823853596
2.083399999999972,6611.491935511089,7244.339360505383,-4773.393410148832,-4531.105538921465,-9000.975398611685,-9227.455919162005
2.0834999999999724,6624.158767577523,7257.33424645659,-4767.909807770469,-4525.804846161506,-9000.024059492373,-9220.152806967972
2.0835999999999726,6636.801409148732,7270.310169651607,-4762.51649632845,-4520.557512917137,-8999.143655061316,-9212.624058122456
2.083699999999973,6649.421979992568,7283.2759273157435,-4757.182317969927,-4515.365057102909,-8998.33462104394,-9204.860821915161
2.083799999999973,6661.97581308071,7296.237085728776,-4751.908893494812,-4510.2390932416965,-8997.600722846604,-9196.865250432174
2.083899999999973,6674.4318923937735,7309.187938001252,-4746.716517327099,-4505.190790736246,-8996.94889690031,-9188.640479416827
2.0839999999999734,6686.790441239986,7322.108589658616,-4741.616740813232,-4500.228056398946,-8996.385486017138,-9180.180091890225
2.0840999999999736,6699.09857236541,7335.0026051845625,-4736.6113620634105,-4495.353108388621,-8995.913070605216,-9171.469950036539
2.084199999999974,6711.392651393923,7347.890521085665,-4731.706175580902,-4490.567588221097,-8995.53174970614,-9162.498299314733
2.084299999999974,6723.661805902637,7360.772024836217,-4726.905301818424,-4485.881410261207,-8995.239781078062,-9153.270525493048
2.0843999999999743,6735.869041885405,7373.6337461824,-4722.199901818213,-4481.295705064026,-8995.027816045773,-9143.790814068852
2.0844999999999745,6747.962665428684,7386.45396729111,-4717.593818260141,-4476.810622362842,-8994.877765568295,-9134.06390817201
2.0845999999999747,6759.940032884533,7399.237957950852,-4713.10430587067,-4472.428399484079,-8994.76608906045,-9124.097601637937
2.084699999999975,6771.8722323816255,7411.99877835172,-4708.735241262416,-4468.151368304504,-8994.667177850191,-9113.896982988636
2.084799999999975,6783.859839659405,7424.740085360299,-4704.453973168668,-4463.973266115079,-8994.559171940764,-9103.452426307622
2.0848999999999753,6795.880241960192,7437.422603792406,-4700.231581012658,-4459.8943018087975,-8994.430681436035,-9092.77212064993
2.0849999999999755,6807.842435227001,7450.0226681400945,-4696.068607903102,-4455.917251573613,-8994.276909796503,-9081.876150483662
2.0850999999999758,6819.709274672766,7462.541887953128,-4692.008410510981,-4452.04162826792,-8994.091804934098,-9070.77468838369
2.085199999999976,6831.502840904879,7474.993533179005,-4688.113834975296,-4448.2639802834,-8993.866535165855,-9059.463362550006
2.085299999999976,6843.246449066642,7487.380537140533,-4684.414216305409,-4444.580606993191,-8993.591805223057,-9047.93045099389
2.0853999999999764,6854.94288929551,7499.673057122953,-4680.903211320206,-4440.997914979718,-8993.261462999424,-9036.189705803761
2.0854999999999766,6866.60079047664,7511.858902257646,-4677.553746881837,-4437.5141983084995,-8992.86472954014,-9024.250342695283
2.085599999999977,6878.268680894108,7523.953953254639,-4674.338867040573,-4434.109864901378,-8992.387597754943,-9012.082421134595
2.085699999999977,6889.917783775568,7535.918983146316,-4671.268484312615,-4430.786416996194,-8991.835198491717,-8999.705402316018
2.0857999999999772,6901.570256109578,7547.749946955859,-4668.34315817739,-4427.534439558559,-8991.205707491918,-8987.12040889029
2.0858999999999774,6913.276648514369,7559.474922805801,-4665.578009410129,-4424.346293778611,-8990.496670699536,-8974.322768875316
2.0859999999999776,6925.049366079396,7571.099035168641,-4662.987838532892,-4421.218084210138,-8989.703204333557,-8961.321215230599
2.086099999999978,6936.858734203034,7582.593350718862,-4660.561836656636,-4418.145323856433,-8988.817377654195,-8948.132280450001
2.086199999999978,6948.673401691074,7593.929921952348,-4658.291407446993,-4415.1228030110915,-8987.828349510874,-8934.77202512358
2.0862999999999783,6960.486525195503,7605.101742523791,-4656.192457058676,-4412.143596762632,-8986.723403727792,-8921.242448115836
2.0863999999999785,6972.293602797873,7616.086118253355,-4654.307575962156,-4409.207029560424,-8985.49224915962,-8907.560381732677
2.0864999999999787,6984.140652018571,7626.886926888571,-4652.651008396288,-4406.306199104364,-8984.119285419314,-8893.72114173169
2.086599999999979,6996.079340020178,7637.522212671246,-4651.214946991557,-4403.4362027514235,-8982.589416030856,-8879.723417463909
2.086699999999979,7008.084791433642,7647.977177752405,-4649.989109204018,-4400.600520843139,-8980.894951122998,-8865.602503068429
2.0867999999999793,7020.139818876433,7658.2629230470075,-4648.956866146432,-4397.791073290055,-8979.01891950586,-8851.34851083642
2.0868999999999795,7032.199394872804,7668.354653872111,-4648.103669591795,-4395.0117435107395,-8976.959501398771,-8836.98784366958
2.0869999999999798,7044.262385711729,7678.240217377657,-4647.420123911631,-4392.265240024685,-8974.715662388067,-8822.552354945237
2.08709999999998,7056.414567543763,7687.957067085155,-4646.9128554428235,-4389.5417739709255,-8972.277411058163,-8808.027763327298
2.08719999999998,7068.653692993348,7697.526424977004,-4646.600506154313,-4386.837693175902,-8969.641531977948,-8793.426346756249
2.0872999999999804,7080.9833380398395,7706.970735091262,-4646.489615773032,-4384.145896505305,-8966.797067998345,-8778.74294810753
2.0873999999999806,7093.426804616651,7716.264623101064,-4646.565292056611,-4381.467923167684,-8963.743817549432,-8764.001768286185
2.087499999999981,7105.950193156745,7725.3751009693415,-4646.808447523445,-4378.813297693611,-8960.490929596004,-8749.249742480291
2.087599999999981,7118.489425371343,7734.304360411701,-4647.220534060134,-4376.191097506554,-8957.044794128478,-8734.521229428025
2.0876999999999812,7131.040707212576,7743.074497768493,-4647.829320973652,-4373.603474409471,-8953.397209017376,-8719.812373765853
2.0877999999999814,7143.5998863470995,7751.70515578228,-4648.642752843458,-4371.0513349441235,-8949.531652292495,-8705.10576263557
2.0878999999999817,7156.155905127189,7760.2040229324375,-4649.626083320622,-4368.540704429452,-8945.438557749585,-8690.407888506521
2.087999999999982,7168.70631476986,7768.577145825001,-4650.748344981335,-4366.0765171034445,-8941.106532777061,-8675.72393586127
2.088099999999982,7181.251444002562,7776.813684114721,-4652.026553526769,-4363.669056260101,-8936.533208688474,-8661.075145261655
2.0881999999999823,7193.801897578722,7784.912012419712,-4653.487848104024,-4361.32643532714,-8931.719092960298,-8646.485740483542
2.0882999999999825,7206.429176628921,7792.901733343618,-4655.125621002294,-4359.052621537368,-8926.663244271416,-8631.971436301665
2.0883999999999827,7219.167885571916,7800.825405167074,-4656.905333054335,-4356.850385371202,-8921.355897509657,-8617.527519667783
2.088499999999983,7231.935172530648,7808.708594794409,-4658.790493035795,-4354.729610649359,-8915.80184886693,-8603.164574936076
2.088599999999983,7244.616182478865,7816.533550297844,-4660.762939475739,-4352.70046770608,-8910.008618865266,-8588.906960443077
2.0886999999999833,7257.151956049555,7824.291253472549,-4662.830442026306,-4350.772743062021,-8903.976336090625,-8574.779535942971
2.0887999999999836,7269.576037863778,7832.001720834772,-4665.008443670423,-4348.95294597721,-8897.688566467928,-8560.77937732425
2.0888999999999838,7281.93079200135,7839.688641206412,-4667.289107462564,-4347.251954814424,-8891.143867069572,-8546.917390822382
2.088999999999984,7294.2414808450885,7847.3693607138475,-4669.6428509584075,-4345.682590173464,-8884.339293120525,-8533.197726840528
2.089099999999984,7306.484378851778,7855.045729730341,-4672.051010739699,-4344.258339724805,-8877.273114184149,-8519.61810263711
2.0891999999999844,7318.593751935271,7862.722533252683,-4674.526575513635,-4342.992244906592,-8869.95583218848,-8506.189139297045
2.0892999999999846,7330.50031517608,7870.416116477165,-4677.083008902233,-4341.8937190965125,-8862.3977294038,-8492.920391539337
2.089399999999985,7342.222993717376,7878.142071223255,-4679.715855359364,-4340.9702290230625,-8854.605927448969,-8479.813342631687
2.089499999999985,7353.862498232102,7885.919482743328,-4682.414547833137,-4340.225946212641,-8846.571005831787,-8466.844123897221
2.0895999999999852,7365.4309726933325,7893.745331709873,-4685.158690940253,-4339.66573660504,-8838.306678356157,-8454.012063487246
2.0896999999999855,7376.792808571024,7901.616590670993,-4687.912482260516,-4339.293961625397,-8829.834699496643,-8441.332565117373
2.0897999999999857,7387.8327702749875,7909.550833130183,-4690.646333536055,-4339.116044717923,-8821.169547929703,-8428.814559642717
2.089899999999986,7398.5750168984,7917.562740693965,-4693.35326254583,-4339.138400188664,-8812.312647549797,-8416.455011891718
2.089999999999986,7409.156994987773,7925.662585650364,-4696.050617597149,-4339.366471838895,-8803.252207810596,-8404.238224941488
2.0900999999999863,7419.665902349443,7933.850152815137,-4698.7558558657065,-4339.804858348532,-8793.988985325313,-8392.159853718123
2.0901999999999865,7430.065140335551,7942.114699679403,-4701.4784256542835,-4340.457140658136,-8784.545573896448,-8380.23856199884
2.0902999999999867,7440.279106225642,7950.451472355408,-4704.205426849289,-4341.326341270909,-8774.94356552483,-8368.49172800953
2.090399999999987,7450.270303097404,7958.8789284303075,-4706.920688721634,-4342.414588670231,-8765.170209562391,-8356.892631041057
2.090499999999987,7459.942423562,7967.342396493342,-4709.584327600959,-4343.717428417646,-8755.32962283629,-8345.516378124319
2.0905999999999874,7469.33938239947,7975.870384970316,-4712.194619208409,-4345.234698643961,-8745.360640891391,-8334.305834667466
2.0906999999999876,7478.543138866324,7984.522596069959,-4714.780454284242,-4346.97874600995,-8735.16856192439,-8323.149378397453
2.090799999999988,7487.5451306788445,7993.2837432688,-4717.359655434607,-4348.951323902804,-8724.824478031314,-8312.077961941299
2.090899999999988,7496.279791965654,8002.074185953935,-4719.896542315247,-4351.133278148393,-8714.477326914348,-8301.224030975876
2.090999999999988,7504.844723389769,8010.974260734184,-4722.390893241691,-4353.536430593197,-8703.950518961177,-8290.445426195969
2.0910999999999884,7513.212899688501,8019.953170516388,-4724.830437354869,-4356.154817321164,-8693.295235122427,-8279.755096224397
2.0911999999999886,7521.350461311048,8028.983618268398,-4727.222871947539,-4358.977800049104,-8682.566954695929,-8269.198270366714
2.091299999999989,7529.261472117052,8038.058283710212,-4729.5878521852055,-4361.999675789267,-8671.776409089809,-8258.789184565663
2.091399999999989,7536.96141637819,8047.171209409416,-4731.936455001631,-4365.217903599273,-8660.909429627522,-8248.515728843453
2.0914999999999893,7544.488061363338,8056.313226602732,-4734.2698006053015,-4368.630795072257,-8649.961872876609,-8238.367587313556
2.0915999999999895,7551.83292270388,8065.464163865578,-4736.5825739357715,-4372.22934412852,-8638.967334526562,-8228.364617021634
2.0916999999999897,7558.954380298071,8074.5922466602005,-4738.864296253548,-4375.998257288375,-8627.967917796781,-8218.53385981548
2.09179999999999,7565.849648512512,8083.718660671238,-4741.11645675453,-4379.939804305887,-8616.927232762719,-8208.83197987929
2.09189999999999,7572.469145140775,8092.783485821023,-4743.330369380143,-4384.022635171011,-8605.938705786835,-8199.31569474233
2.0919999999999903,7578.850098554263,8101.7862465476865,-4745.522292143606,-4388.239993106519,-8594.955546819438,-8189.952231725801
2.0920999999999905,7585.130067624467,8110.815771693742,-4747.749201899757,-4392.620508330589,-8583.818688366728,-8180.601564106474
2.0921999999999907,7591.357388828367,8119.826273008526,-4749.9931327127915,-4397.126974091137,-8572.631886896046,-8171.334992963738
2.092299999999991,7597.559709974864,8128.77998618838,-4752.230702033353,-4401.735106679762,-8561.45179778078,-8162.213188909725
2.092399999999991,7603.72247206597,8137.691426642817,-4754.4642177205515,-4406.441055945201,-8550.24934083372,-8153.221803484448
2.0924999999999914,7609.762681468955,8146.497550455041,-4756.671763934743,-4411.206582977539,-8539.11273948035,-8144.433349971938
2.0925999999999916,7615.656882582312,8155.159811223661,-4758.857256327004,-4416.019062513408,-8528.041408071673,-8135.856137721234
2.092699999999992,7621.4665881770115,8163.759715581684,-4761.093661382159,-4420.915383216704,-8516.87643243351,-8127.355929868839
2.092799999999992,7627.15173098226,8172.265719538548,-4763.3906816891085,-4425.857307202266,-8505.717344535302,-8119.003855549683
2.092899999999992,7632.731562749994,8180.649287879451,-4765.722644082055,-4430.82979258755,-8494.604290055624,-8110.834492740703
2.0929999999999924,7638.199022494245,8188.805974328884,-4768.031402860248,-4435.78384898517,-8483.665904509038,-8102.944726094863
2.0930999999999926,7643.616518631186,8196.777149449072,-4770.331190236765,-4440.744848826108,-8472.78155988435,-8095.238477845011
2.093199999999993,7649.000888439745,8204.551345454985,-4772.648511729187,-4445.684904182065,-8461.988830453567,-8087.736893299795
2.093299999999993,7654.39397545191,8212.22388651046,-4775.034833535414,-4450.639392762212,-8451.144059852297,-8080.332110379967
2.0933999999999933,7659.762934766496,8219.750465065585,-4777.474107100817,-4455.568198936547,-8440.3370044484,-8073.092474841517
2.0934999999999935,7665.15935534468,8227.108793830585,-4779.934179559452,-4460.45572878095,-8429.581886496286,-8066.031751681909
2.0935999999999937,7670.622074434871,8234.239452428223,-4782.3753772709615,-4465.260618555804,-8418.975697746777,-8059.214423156427
2.093699999999994,7676.129470193969,8241.138339590854,-4784.79368676858,-4469.983359807487,-8408.488012925536,-8052.613508156272
2.093799999999994,7681.633066280735,8247.875837332022,-4787.236665179291,-4474.65571128796,-8397.995531459905,-8046.134713789603
2.0938999999999943,7687.060657368334,8254.427463651522,-4789.719482014868,-4479.246610344628,-8387.58383686377,-8039.8462425835305
2.0939999999999945,7692.450678665881,8260.789700536368,-4792.246439517654,-4483.7503008161475,-8377.272091710078,-8033.773817124634
2.0940999999999947,7697.835933736646,8266.895804607959,-4794.785374755587,-4488.127874989553,-8367.1819546897,-8028.003200311583
2.094199999999995,7703.250645792855,8272.775933106668,-4797.345273481346,-4492.4036931182145,-8357.215207266108,-8022.464955772571
2.094299999999995,7708.65796596793,8278.430763598431,-4799.926004711972,-4496.561412262112,-8347.400207539617,-8017.17420788614
2.0943999999999954,7714.1112558569985,8283.926975352118,-4802.554383632281,-4500.632822663861,-8337.627047393273,-8012.061058934497
2.0944999999999956,7719.598055022353,8289.251978997723,-4805.202018009526,-4504.593264833347,-8327.962220296631,-8007.172125230975
2.094599999999996,7725.084864683785,8294.407508723152,-4807.859201634317,-4508.440557707654,-8318.400624747275,-8002.503712314559
2.094699999999996,7730.514268379222,8299.369520740765,-4810.513036774362,-4512.1518081730355,-8309.01557382756,-7998.088790315506
2.094799999999996,7735.922758732796,8304.14235664414,-4813.187736658117,-4515.740328650226,-8299.766136721371,-7993.881157744099
2.0948999999999964,7741.386832574715,8308.768789169726,-4815.926004879188,-4519.229001453767,-8290.561635833617,-7989.811389498512
2.0949999999999966,7746.881088776196,8313.270158078443,-4818.710978963654,-4522.600159005249,-8281.453901489444,-7985.9192444143755
2.095099999999997,7752.279192617843,8317.612933878961,-4821.4732120174895,-4525.821813724052,-8272.575009931734,-7982.30138314384
2.095199999999997,7757.610680154002,8321.801342371822,-4824.231499683368,-4528.924266243979,-8263.834829847974,-7978.891009588079
