"时间","Roll_Moment Monitor: Roll_Moment Monitor (N-m)"
0.29749999999998356,-20.424549102859604
0.29759999999998354,-20.125710240247546
0.29769999999998353,-21.276889893376065
0.2977999999999835,-23.607320761980308
0.2978999999999835,-26.58728549308514
0.2979999999999835,-29.513064776962928
0.2980999999999835,-31.86484753557265
0.2981999999999835,-33.14698185159029
0.29829999999998347,-33.48383369659627
0.29839999999998346,-33.58408763044896
0.29849999999998345,-34.00536937397804
0.29859999999998343,-34.58665355388861
0.2986999999999834,-34.696947459164186
0.2987999999999834,-33.68864399714651
0.2988999999999834,-31.394517598359283
0.2989999999999834,-27.828761466273484
0.2990999999999834,-23.234039176800074
0.29919999999998337,-17.855613708195385
0.29929999999998336,-11.605767141738212
0.29939999999998335,-4.199804792588616
0.29949999999998334,4.64042604596858
0.2995999999999833,14.82390956442243
0.2996999999999833,25.83414526004948
0.2997999999999833,37.20445564883925
0.2998999999999833,48.925559417360226
0.2999999999999833,61.61625972730341
0.30009999999998327,75.61235942206392
0.30019999999998326,90.7768654415454
0.30029999999998325,106.55079461830043
0.30039999999998324,122.3189156630938
0.3004999999999832,137.7391796378346
0.3005999999999832,152.8530550226478
0.3006999999999832,168.01417782705954
0.3007999999999832,183.95501044946116
0.3008999999999832,201.03234329082613
0.30099999999998317,218.85547951449828
0.30109999999998316,236.73345396439797
0.30119999999998315,254.3225642199484
0.30129999999998314,271.2677780648685
0.3013999999999831,287.2653217839895
0.3014999999999831,302.668082621412
0.3015999999999831,317.84720153499353
0.3016999999999831,332.9221620481993
0.3017999999999831,347.6186386581576
0.30189999999998307,361.83919112215426
0.30199999999998306,375.4284942262648
0.30209999999998305,387.99726473839434
0.30219999999998304,399.4656799055774
0.302299999999983,409.8387500464817
0.302399999999983,419.32186665994254
0.302499999999983,428.03832652455486
0.302599999999983,435.9053503232335
0.302699999999983,442.8987950692122
0.30279999999998297,449.3645049441473
0.30289999999998296,455.26016357827854
0.30299999999998295,460.00000955605776
0.30309999999998294,463.10251052529173
0.3031999999999829,464.0351427346801
0.3032999999999829,462.87591214935907
0.3033999999999829,459.90259904306777
