"时间","Fz Monitor: Fz Monitor (N)"
2.6863000000012445,60942.44092537404
2.6864000000012447,60929.200877572315
2.686500000001245,60915.58569358772
2.686600000001245,60901.587226000935
2.6867000000012453,60886.917390960276
2.6868000000012455,60871.91731686779
2.6869000000012457,60856.815859844275
2.687000000001246,60842.31080734195
2.687100000001246,60827.82519120034
2.6872000000012464,60813.25145638719
2.6873000000012466,60798.38058940596
2.687400000001247,60783.527152849565
2.687500000001247,60768.44598009387
2.687600000001247,60753.47712234315
2.6877000000012474,60739.17163898908
2.6878000000012476,60725.49089309674
2.687900000001248,60712.479005445726
2.688000000001248,60699.20091512909
2.6881000000012483,60685.11380591335
2.6882000000012485,60669.928384416875
2.6883000000012487,60653.7459384446
2.688400000001249,60636.912509520516
2.688500000001249,60620.376066024204
2.6886000000012493,60604.1754653141
2.6887000000012495,60588.2444120035
2.6888000000012497,60572.22922377829
2.68890000000125,60555.78131298763
2.68900000000125,60539.10330438416
2.6891000000012504,60521.8235897717
2.6892000000012506,60504.03014592368
2.689300000001251,60485.87163179886
2.689400000001251,60468.22828045091
2.6895000000012512,60450.91353770878
2.6896000000012514,60433.74805297252
2.6897000000012516,60416.34030231798
2.689800000001252,60398.29818333894
2.689900000001252,60379.446115212195
2.6900000000012523,60360.30094693439
2.6901000000012525,60340.542494002846
2.6902000000012527,60320.223927269086
2.690300000001253,60299.34040271913
2.690400000001253,60278.54495754083
2.6905000000012533,60257.899848899804
2.6906000000012535,60237.567324273485
2.6907000000012538,60217.72013496792
2.690800000001254,60197.538055526005
2.690900000001254,60176.54795937224
2.6910000000012544,60154.69444217218
2.6911000000012546,60132.05474926504
2.691200000001255,60109.56360824461
2.691300000001255,60086.96902393719
2.6914000000012552,60064.39275583479
2.6915000000012554,60042.05174527435
2.6916000000012557,60020.04024564812
2.691700000001256,59998.99888243488
2.691800000001256,59978.607615641034
2.6919000000012563,59958.74940716112
2.6920000000012565,59939.01428054722
2.6921000000012567,59919.28215123532
2.692200000001257,59899.32756995069
2.692300000001257,59878.80517164468
2.6924000000012573,59858.181459312946
2.6925000000012576,59837.644357161116
2.6926000000012578,59817.4892420323
2.692700000001258,59797.468819253154
2.692800000001258,59777.04742368937
2.6929000000012584,59756.40716687295
2.6930000000012586,59735.69998509902
2.693100000001259,59714.77447488116
